N.º,Afirmación,Respuesta,Justificación,Tema
1,La principal aportación de Ernest Rutherford fue el descubrimiento de la existencia de los electrones.,Falso,El descubrimiento del electrón se atribuye a J.J. Thomson. Rutherford descubrió el núcleo atómico.,Modelos Atómicos
2,"Según el modelo de Niels Bohr, los electrones solo pueden existir en órbitas con una energía fija y cuantificada.",Verdadero,Este principio de la cuantificación de la energía es la base del modelo de Bohr.,Modelos Atómicos
3,"El modelo atómico de John Dalton consideraba que el átomo era una esfera maciza, indivisible e indestructible.",Verdadero,El modelo de Dalton (1808) fue el primero con base científica y no contemplaba la existencia de partículas subatómicas.,Modelos Atómicos
4,El modelo de Thomson (pudin de pasas) proponía que la carga positiva del átomo se concentra en un pequeño volumen central.,Falso,Esa es la conclusión de Rutherford. El modelo de Thomson proponía una esfera grande de carga positiva donde los electrones estaban incrustados.,Modelos Atómicos
5,Dos isótopos de un mismo elemento químico poseen el mismo número de protones y diferente número de neutrones.,Verdadero,"Los isótopos tienen el mismo número atómico (Z, protones) pero diferente número másico (A) debido a un distinto número de neutrones.",Isótopos y Partículas
6,El número másico (A) de un átomo se obtiene sumando el número de protones y el número de electrones.,Falso,El número másico (A) es la suma de protones y neutrones (partículas en el núcleo).,Isótopos y Partículas
7,Un átomo neutro del elemento Cl-37 (Z=17) tiene un total de 20 neutrones en su núcleo.,Verdadero,El número de neutrones se calcula como la resta del número másico (A) menos el número atómico (Z): 37 - 17 = 20 neutrones.,Isótopos y Partículas
8,Un anión con carga -2 se forma cuando un átomo neutro pierde dos electrones.,Falso,Un anión se forma al ganar electrones. La pérdida de electrones daría lugar a un catión.,Isótopos y Partículas
9,El Principio de Exclusión de Pauli establece que un orbital puede ser ocupado por un máximo de dos electrones con espines opuestos.,Verdadero,No pueden existir dos electrones con los cuatro números cuánticos idénticos.,Configuraciones Electrónicas
10,La Regla de Hund (máxima multiplicidad) establece que los electrones se aparean en orbitales degenerados antes de ocupar todos los orbitales por separado.,Falso,La Regla de Hund establece que los electrones ocupan primero todos los orbitales degenerados con espines paralelos antes de comenzar a aparearse.,Configuraciones Electrónicas
11,"La configuración electrónica abreviada para el Calcio (Ca, Z=20) es [Ar]4s².",Verdadero,"La configuración completa es 1s²2s²2p⁶3s²3p⁶4s², y [Ar] representa la configuración de los primeros 18 electrones.",Configuraciones Electrónicas
